,电影名,关系,宾语
0,星际穿越,类型,科幻
1,辛德勒的名单,类型,剧情
2,辛德勒的名单,类型,历史
3,辛德勒的名单,类型,战争
4,唐伯虎点秋香,类型,古装
5,唐伯虎点秋香,类型,喜剧
6,唐伯虎点秋香,类型,爱情
7,致命ID,类型,剧情
8,致命ID,类型,悬疑
9,致命ID,类型,犯罪
10,致命ID,类型,惊悚
11,指环王：王者无敌,类型,剧情
12,指环王：王者无敌,类型,动作
13,指环王：王者无敌,类型,奇幻
14,指环王：王者无敌,类型,冒险
15,城市之光,类型,爱情
16,城市之光,类型,剧情
17,城市之光,类型,喜剧
18,这个男人来自地球,类型,剧情
19,这个男人来自地球,类型,奇幻
20,这个男人来自地球,类型,科幻
21,上帝也疯狂,类型,喜剧
22,大话西游之大圣娶亲,类型,喜剧
23,大话西游之大圣娶亲,类型,爱情
24,大话西游之大圣娶亲,类型,动作
25,大话西游之大圣娶亲,类型,奇幻
26,大话西游之大圣娶亲,类型,冒险
27,放牛班的春天,类型,剧情
28,放牛班的春天,类型,音乐
29,天堂电影院,类型,剧情
30,天堂电影院,类型,爱情
31,搏击俱乐部,类型,剧情
32,搏击俱乐部,类型,动作
33,搏击俱乐部,类型,悬疑
34,搏击俱乐部,类型,惊悚
35,龙猫,类型,动画
36,龙猫,类型,奇幻
37,龙猫,类型,冒险
38,恐怖直播,类型,剧情
39,恐怖直播,类型,悬疑
40,恐怖直播,类型,犯罪
41,导盲犬小Q,类型,剧情
42,导盲犬小Q,类型,喜剧
43,迁徙的鸟,类型,纪录片
44,雨中曲,类型,歌舞
45,雨中曲,类型,爱情
46,重庆森林,类型,剧情
47,重庆森林,类型,悬疑
48,重庆森林,类型,爱情
49,心迷宫,类型,悬疑
50,心迷宫,类型,剧情
51,天空之城,类型,蒸汽朋克
52,天空之城,类型,冒险
53,天空之城,类型,动画
54,幽灵公主,类型,动画
55,幽灵公主,类型,奇幻
56,幽灵公主,类型,冒险
57,哪吒闹海,类型,魔幻电影
58,美丽心灵的永恒阳光,类型,爱情
59,美丽心灵的永恒阳光,类型,剧情
60,变脸,类型,剧情
61,倩女幽魂,类型,奇幻
62,倩女幽魂,类型,爱情
63,倩女幽魂,类型,剧情
64,倩女幽魂,类型,古装
65,再次出发之纽约遇见你,类型,喜剧
66,再次出发之纽约遇见你,类型,爱情
67,再次出发之纽约遇见你,类型,音乐
68,美丽心灵,类型,剧情
69,美丽心灵,类型,传记
70,电锯惊魂,类型,恐怖
71,触不可及,类型,爱情
72,触不可及,类型,战争
73,楚门的世界,类型,剧情
74,寿司之神,类型,纪录片
75,曾经,类型,剧情
76,曾经,类型,爱情
77,曾经,类型,音乐
78,我们俩,类型,剧情
79,情书,类型,爱情
80,忠犬八公的故事,类型,剧情
81,忠犬八公的故事,类型,家庭
82,海洋,类型,纪录片
83,叫我第一名,类型,励志
84,叫我第一名,类型,传记
85,叫我第一名,类型,轻喜剧
86,教父,类型,剧情
87,教父,类型,惊悚
88,教父,类型,犯罪
89,罪恶之城,类型,动作
90,罪恶之城,类型,惊悚
91,罪恶之城,类型,剧情
92,蝙蝠侠：黑暗骑士,类型,剧情
93,蝙蝠侠：黑暗骑士,类型,动作
94,蝙蝠侠：黑暗骑士,类型,科幻
95,蝙蝠侠：黑暗骑士,类型,惊悚
96,蝙蝠侠：黑暗骑士,类型,犯罪
97,梦之安魂曲,类型,剧情
98,驯龙高手,类型,喜剧
99,大闹天宫,类型,动画
100,大闹天宫,类型,奇幻
101,夜访吸血鬼,类型,奇幻片
102,中央车站,类型,剧情
103,穿越时空的少女,类型,爱情
104,穿越时空的少女,类型,动画
105,穿越时空的少女,类型,剧情
106,侧耳倾听,类型,动画
107,侧耳倾听,类型,剧情
108,侧耳倾听,类型,爱情
109,侧耳倾听,类型,家庭
110,侧耳倾听,类型,音乐
111,黑天鹅,类型,剧情
112,黑天鹅,类型,惊悚
113,勇敢的心,类型,年代
114,勇敢的心,类型,传奇
115,勇敢的心,类型,战争
116,E.T.外星人,类型,科幻
117,E.T.外星人,类型,家庭
118,摩登时代,类型,剧情
119,摩登时代,类型,喜剧
120,摩登时代,类型,爱情
121,致命魔术,类型,悬疑
122,致命魔术,类型,惊悚
123,时空恋旅人,类型,剧情
124,时空恋旅人,类型,爱情
125,时空恋旅人,类型,科幻
126,末代皇帝,类型,剧情
127,巴黎淘气帮,类型,剧情
128,巴黎淘气帮,类型,家庭
129,恋恋笔记本,类型,爱情
130,爱·回家,类型,处境剧
131,爱·回家,类型,家庭剧
132,爱·回家,类型,都市剧
133,爱·回家,类型,伦理剧
134,爱·回家,类型,爱情
135,谍影重重,类型,动作
136,谍影重重,类型,悬疑
137,谍影重重,类型,惊悚
138,谍影重重,类型,冒险
139,心灵捕手,类型,剧情
140,哈利·波特与魔法石,类型,奇幻
141,哈利·波特与魔法石,类型,冒险
142,傲慢与偏见,类型,剧情
143,傲慢与偏见,类型,爱情
144,贫民窟的百万富翁,类型,
145,黄金三镖客,类型,动作
146,黄金三镖客,类型,冒险
147,黄金三镖客,类型,西部
148,国王的演讲,类型,剧情
149,国王的演讲,类型,历史
150,国王的演讲,类型,传记
151,本杰明·巴顿奇事,类型,爱情
152,本杰明·巴顿奇事,类型,奇幻
153,勇闯夺命岛,类型,动作
154,岁月神偷,类型,剧情
155,哈利·波特与死亡圣器,类型,冒险
156,哈利·波特与死亡圣器,类型,魔幻
157,蝴蝶,类型,剧情
158,一次别离,类型,剧情
159,侠盗联盟,类型,动作
160,侠盗联盟,类型,冒险
161,神偷奶爸,类型,动画
162,神偷奶爸,类型,奇幻
163,神偷奶爸,类型,家庭
164,碧海蓝天,类型,剧情
165,碧海蓝天,类型,爱情
166,指环王：护戒使者,类型,剧情
167,指环王：护戒使者,类型,动作
168,指环王：护戒使者,类型,奇幻
169,指环王：护戒使者,类型,冒险
170,浪潮,类型,剧情
171,人工智能,类型,剧情
172,人工智能,类型,科幻
173,人工智能,类型,冒险
174,风之谷,类型,动画
175,剪刀手爱德华,类型,剧情
176,剪刀手爱德华,类型,爱情
177,剪刀手爱德华,类型,奇幻
178,一一,类型,剧情
179,一一,类型,爱情
180,一一,类型,家庭
181,角斗士,类型,动作
182,角斗士,类型,历史
183,角斗士,类型,战争
184,角斗士,类型,爱情
185,未麻的部屋,类型,惊悚
186,未麻的部屋,类型,奇幻
187,未麻的部屋,类型,动画
188,泰坦尼克号,类型,剧情
189,泰坦尼克号,类型,爱情
190,泰坦尼克号,类型,灾难
191,追随,类型,悬疑
192,追随,类型,惊悚
193,追随,类型,犯罪
194,大鱼,类型,奇幻
195,少年派的奇幻漂流,类型,剧情
196,少年派的奇幻漂流,类型,奇幻
197,少年派的奇幻漂流,类型,冒险
198,窃听风暴,类型,悬疑
199,美国往事,类型,剧情
200,美国往事,类型,犯罪
201,东京物语,类型,剧情
202,V字仇杀队,类型,科幻片
203,低俗小说,类型,剧情
204,低俗小说,类型,喜剧
205,低俗小说,类型,犯罪
206,花样年华,类型,剧情
207,花样年华,类型,文艺
208,花样年华,类型,爱情
209,惊魂记,类型,惊悚
210,两杆大烟枪,类型,惊悚
211,两杆大烟枪,类型,剧情
212,两杆大烟枪,类型,犯罪
213,两杆大烟枪,类型,喜剧
214,遗愿清单,类型,剧情片
215,教父2,类型,剧情
216,教父2,类型,犯罪
217,疯狂的石头,类型,喜剧
218,疯狂的石头,类型,犯罪
219,阿飞正传,类型,剧情
220,阿飞正传,类型,文艺
221,阿飞正传,类型,爱情
222,可可西里,类型,剧情
223,小森林,类型,剧情
224,熔炉,类型,剧情
225,爱在日落黄昏时,类型,剧情
226,爱在日落黄昏时,类型,爱情
227,喜剧之王,类型,剧情
228,喜剧之王,类型,喜剧
229,喜剧之王,类型,爱情
230,布达佩斯大饭店,类型,剧情
231,布达佩斯大饭店,类型,冒险
232,布达佩斯大饭店,类型,悬疑
233,拯救大兵瑞恩,类型,动作
234,拯救大兵瑞恩,类型,剧情
235,拯救大兵瑞恩,类型,战争
236,拯救大兵瑞恩,类型,历史
237,辩护人,类型,剧情
238,爆裂鼓手,类型,剧情
239,爆裂鼓手,类型,音乐
240,无耻混蛋,类型,动作
241,无耻混蛋,类型,冒险
242,无耻混蛋,类型,战争
243,无耻混蛋,类型,剧情
244,枪火,类型,动作
245,枪火,类型,剧情
246,枪火,类型,犯罪
247,西西里的美丽传说,类型,剧情
248,西西里的美丽传说,类型,爱情
249,西西里的美丽传说,类型,战争
250,机器人总动员,类型,动画
251,机器人总动员,类型,科幻
252,机器人总动员,类型,爱情
253,上帝之城,类型,剧情
254,上帝之城,类型,犯罪
255,活着,类型,剧情
256,活着,类型,家庭
257,活着,类型,历史
258,冰川时代,类型,动画
259,冰川时代,类型,喜剧
260,冰川时代,类型,冒险
261,飞屋环游记,类型,剧情
262,飞屋环游记,类型,喜剧
263,飞屋环游记,类型,动画
264,飞屋环游记,类型,冒险
265,与狼共舞,类型,谍战
266,萤火虫之墓,类型,动画
267,萤火虫之墓,类型,剧情
268,萤火虫之墓,类型,灾难
269,绿里奇迹,类型,剧情
270,绿里奇迹,类型,悬疑
271,绿里奇迹,类型,犯罪
272,绿里奇迹,类型,奇幻
273,疯狂原始人,类型,动画
274,疯狂原始人,类型,家庭
275,疯狂原始人,类型,动作
276,疯狂原始人,类型,奇幻
277,狮子王,类型,动画
278,狮子王,类型,家庭
279,狮子王,类型,冒险
280,狮子王,类型,歌舞
281,7号房的礼物,类型,剧情
282,7号房的礼物,类型,喜剧
283,7号房的礼物,类型,家庭
